;0. ;1. Multigraphic;4. Box WiFi;12. Récepteur Radio Flash;13. GyroPilot Graphic Flash;14. Afficheur TL25 Flash;24. Girouette rapide;25. Cap magnétique rapide;26. Chronomètre;29. Gite rapide;30. Angle de barre rapide;43. Gite;48. Température de l'air;55. Configuration;56. Lumière;57. Nombre d'afficheurs esclaves;59. Anémomètre;60. Girouette;61. Cap magnétique;74. Canal en alarme;78. Angle de barre;79. Consigne pilote;80. Intensité courant moteur;81. Puissance moyenne moteur;82. Température des radiateurs;83. Mode pilote;84. Alarme pilote;85. Tension batterie pilote;115. Angle de trim;118. GyroCompas;176. Tension batterie 3;177. Intensité batterie 3;178. Capacité batterie 3;179. Capacité batterie 3;184. Nombre d'émetteurs radio;187. Sélection langue;192. Anémomètre HR;193. Girouette HR;203. Angle de trim HR;227. Vitesse vent réel pilote;228. Angle de vent réel pilote;230. Speedo pilote;241. ;244. ;252. 
01_27_16_52_53;0;;0;0;0;0;-101;124;0;1;2.66;1;26.5;75;4;4;0;-101;124;0;3;0;0;0;21.1;5;0;12.1;1;124;11.9;0.59;0;100;1;0;0;-100.6;0.9;0;0;0;0;;
01_27_16_52_54;0;;0;0;0;0;-101;124;0;1;2.66;1;26.5;75;4;4;0;-101;124;0;2;0;0;0;21.1;5;0;12.1;1;124;11.9;0.59;0;100;1;0;0;-100.6;1;0;0;0;0;;
01_27_16_52_55;0;;0;0;0;0;-101;124;0;1;2.33;1;26.5;75;4;4;0;-101;124;0;2;0;0;0;21.1;5;0;12.1;1;124;11.9;0.59;0;100;1;0;0;-100.6;1;0;0;0;0;;
01_27_16_52_56;0;;0;0;0;0;-101;124;0;1;2.66;1;26.5;75;4;4;0;-101;124;0;3;0;0;0;21.1;5;0;12.1;1;124;11.9;0.59;0;100;1;0;0;-100.9;1;0;0;0;0;;
01_27_16_52_57;0;;0;0;0;0;-100.5;124;0;1;2.66;1;26.5;75;4;4;0;-101;124;0;3;0;0;0;21.1;5;0;12.1;1;124;11.9;0.59;0;100;1;0;0;-100.6;0.9;0;0;0;0;;0
01_27_16_52_58;0;;0;0;0;0;-100.5;124;0;1;2.66;1;26.5;75;4;4;0;-101;124;0;3;0;0;0;21.1;5;0;12.1;1;124;11.9;0.59;0;100;1;0;0;-100.6;1;0;0;0;;;
01_27_16_52_59;0;;0;0;0;0;-101;124;0;1;2.66;1;26.5;75;4;4;0;-101;124;0;3;0;0;0;21.1;5;16;12.1;1;124;11.9;0.59;0;100;1;0;0;-100.6;1;0;0;0;;;
01_27_16_53_00;0;;0;0;0;0;-101;124;0;1;2.66;1;26.5;75;4;4;0;-101;124;0;3;0;0;0;21.1;5;16;12.1;1;124;11.9;0.59;0;100;1;0;0;-100.6;1;0;0;0;;;
01_27_16_53_01;0;;0;0;0;0;-101;124;0;1;2.66;1;26.5;75;4;4;0.1;-101;124;0;3;0;0;0;21.1;5;16;12.1;1;124;11.9;0.59;0;100;1;0;1.1;-100.6;1;0;0;0;;;
01_27_16_53_02;0;;0;0;0;0;-101;124;0;1;2.66;1;26.5;75;4;4;0.1;-101;124;0;3;0;0;0;21.1;5;16;12.1;1;124;11.9;0.59;0;100;1;0;0;-100.6;1;0;0;0;;;
01_27_16_53_03;0;;0;0;0;0;-101;124;0;1;2.66;1;26.5;75;4;4;0.1;-101;124;0;3;0;0;0;21.1;5;16;12.1;1;124;11.9;0.59;0;100;1;0;0;-100.6;1;0;0;0;;;
01_27_16_53_04;0;;0;0;0;0;-101;124;0;1;2.66;1;26.5;75;4;4;0.1;-101;124;0;3;0;0;0;21.1;5;16;12.1;1;124;11.9;0.59;0;100;1;0;0;-100.6;1;0;0;0;;0;
01_27_16_53_05;0;;0;0;0;0;-101;124;0;1;2.66;1;26.5;75;4;4;0;-101;124;0;3;0;0;0;21.1;5;16;12.1;1;124;11.9;0.59;0;100;1;0;0;-100.6;1;0;0;0;;;
01_27_16_53_06;0;;0;0;0;0;-100.5;124;0;1;2.66;1;26.5;75;4;4;0;-101;124;0;3;0;0;0;21.1;5;16;12.1;1;124;11.9;0.59;0;100;1;0;0;-100.6;0.9;0;0;0;;;
01_27_16_53_07;0;;0;0;0;0;-101;124;0;1;2.66;1;26.5;75;4;4;0;-101;124;0;3;0;0;0;21.1;5;16;12.1;1;124;11.9;0.59;0;100;1;0;0;-100.6;1;0;0;0;;;
